ListSector,ListSectorCD,TShEquity,area,code,delistDate,endDate,equType,equTypeCD,exCountryCD,exchangeCD,holders,if_index,industry,listDate,listStatusCD,nonrestFloatShares,nonrestfloatA,officeAddr,partyID,primeOperating,secFullName,secID,secShortName,stop,timeToMarket,totalShares,transCurrCD
主板,1,2.18111E+11,深圳,1,,2017/9/30,沪深A股,A,CHN,XSHE,393000,0,银行,1991/4/3,L,16917989700,16917989700,广东省深圳市罗湖区深南东路5047号,2,人民币、外币存贷款;国际、国内结算;票据贴现;外汇买卖;提供担保及信用证服务;提供保管箱服务等。,平安银行股份有限公司,000001.XSHE,平安银行,FALSE,19910403,17170411400,CNY
主板,1,1.67725E+11,深圳,2,,2017/9/30,沪深A股,A,CHN,XSHE,207215,0,全国地产,1991/1/29,L,11024120600,9709165100,广东省深圳市盐田区大梅沙环梅路33号万科中心,3,房地产业务及投资零售业务。,万科企业股份有限公司,000002.XSHE,万科A,FALSE,19910129,11039152000,CNY
主板,1,169991455.3,深圳,4,,2017/9/30,沪深A股,A,CHN,XSHE,12388,0,生物制药,1991/1/14,L,82963700,82963700,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,5,生物特征识别系统、生物制药的研发与销售、房地产开发和销售。,深圳中国农大科技股份有限公司,000004.XSHE,国农科技,FALSE,19910114,83976700,CNY
主板,1,1344260964,深圳,5,,2017/9/30,沪深A股,A,CHN,XSHE,129643,0,房产服务,1990/12/10,L,951222500,951222500,深圳市罗湖区深南东路2017号华乐大厦3楼,6,房地产、酒店式公寓管理、交通运输、商务咨询、软件开发、财经资讯等。,深圳世纪星源股份有限公司,000005.XSHE,世纪星源,FALSE,19901210,1058536900,CNY
主板,1,5240483112,深圳,6,,2017/9/30,沪深A股,A,CHN,XSHE,80462,0,区域地产,1992/4/27,L,1345169200,1345169200,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,7,房地产开发与经营。,深圳市振业(集团)股份有限公司,000006.XSHE,深振业A,FALSE,19920427,1349995100,CNY
主板,1,384135418.2,深圳,7,,2017/9/30,沪深A股,A,CHN,XSHE,14453,0,酒店餐饮,1992/4/13,L,308948000,308948000,深圳市福田区梅林街道梅康路8号理想时代大厦6楼,8,投资兴办实业(具体项目另外申报);国内商业、物资供销业(不含专营、专控、专卖商品);自有物业租赁;环保产品的技术开发;信息咨询(不含限制项目);项目投资(不含限制项目);房地产开发;酒店经营等。,深圳市全新好股份有限公司,000007.XSHE,全新好,FALSE,19920413,346448000,CNY
主板,1,6316922516,北京,8,,2017/9/30,沪深A股,A,CHN,XSHE,64328,0,运输设备,1992/5/7,L,2011042800,2011042800,北京市海淀区高梁桥斜街59号院1号楼中坤大厦16层,9,轨道交通安全检测监测技术、数据采集及分析技术和智能化维护技术的研发与应用。,神州高铁技术股份有限公司,000008.XSHE,神州高铁,FALSE,19920507,2818329800,CNY
主板,1,10090400892,深圳,9,,2017/9/30,沪深A股,A,CHN,XSHE,186467,0,综合类,1991/6/25,L,2120089100,2120089100,广东省深圳市笋岗东路宝安广场A座28-29层,10,高新技术产业、生物医药业和房地产业的投资。,中国宝安集团股份有限公司,000009.XSHE,中国宝安,FALSE,19910625,2149345000,CNY
主板,1,2253959326,深圳,10,,2017/9/30,沪深A股,A,CHN,XSHE,54225,0,建筑施工,1995/10/27,L,522171500,522171500,广东省深圳市福田区中心四路1-1号嘉里建设广场第三座3201室,11,"高新技术项目的开发及相关产品的技术服务,计算机网络系统工程、计算机软、硬件的技术开发、生产、安装及系统集成,电子技术产品的技术开发、生产,信息咨询服务。",深圳美丽生态股份有限公司,000010.XSHE,美丽生态,FALSE,19951027,819854700,CNY
主板,1,2879738971,深圳,11,,2017/9/30,沪深A股,A,CHN,XSHE,47200,0,区域地产,1992/3/30,L,243467900,175862600,"广东省深圳市人民南路国贸大厦39,42层",12,房地产开发经营。,深圳市物业发展(集团)股份有限公司,000011.XSHE,深物业A,FALSE,19920330,595979100,CNY
主板,1,8674275337,深圳,12,,2017/9/30,沪深A股,A,CHN,XSHE,158977,0,玻璃,1992/2/28,L,2386375000,1509403400,广东省深圳市蛇口工业六路一号南玻大厦,13,"平板玻璃、工程玻璃等节能建筑材料,硅材料、光伏组件等可再生能源产品及超薄电子玻璃等新型材料和高科技产品的生产、制造和销售",中国南玻集团股份有限公司,000012.XSHE,南玻A,FALSE,19920228,2484147600,CNY
