field,alias,table,comment,formula,fullname,matchCount,matches
actual_capital,实际资本, insurance_indicato,实际资本,,实际资本,0,
compensation_rate,退保率, insurance_indicato,寿险业务退保率,,退保率(寿险业务),0,
comprehensive_compensation_rate,综台赔付率, insurance_indicato,产险业务综台赔付率,,综台赔付率（产险业务）,0,
comprehensive_cost_ratio,综台成本率, insurance_indicato,产险业务综台成本率,,综台成本率（产险业务）,0,
earned_premium,己赚保费, insurance_indicato,己赚保费,,己赚保费,0,
earned_premium_growth_rate,己赚保费增长率, insurance_indicato,己赚保费增长率,,己赚保费增长率,0,
investment_assets,投资资产, insurance_indicato,投资资产,,投资资产,0,
minimum_capital,最低资本, insurance_indicato,最低资本,,最低资本,0,
net_investment_rate_of_return,净投资收益率, insurance_indicato,净投资收益率,,净投资收益率,0,
not_expired_duty_reserve,未到期责任准备金, insurance_indicato,产险业务未到期责任准备金,,未到期责任准备金（产险业务）,0,
outstanding_claims_reserve,未决赔款准备金, insurance_indicato,产险业务未决赔款准备金,,未决赔款准备金（产险业务）,0,
payoff_cost,赔付支出, insurance_indicato,赔付支出,,赔付支出,0,
solvency_adequacy_ratio,偿付能力充足率, insurance_indicato,偿付能力充足率,,偿付能力充足率,0,
total_investment_rate_of_return,总投资收益率, insurance_indicato,总投资收益率,,总投资收益率,0,
account_receivable,应收账款,balance,应收账款是指企业在正常的经营过程中因销售商品、产品、提供劳务等业务，应向购买单位收取的款项，包括应由购买单位或接受劳务单位负担的税金、代购买方垫付的各种运杂费等。,,应收账款(元),1,应收账款(万元) balance
accounts_payable,应付账款,balance,应付账款是指因购买材料、商品或接受劳务供应等而发生的债务，这是买卖双方在购销活动中由于取得物资与支付贷款在时间上不一致而产生的负债。,,应付账款(元),1,应付账款(万元) balance
accrued_expenses,预提费用,balance,,,预提费用(万元),1,预提费用(万元) balance
accumulated_depreciation,累计折旧,balance,,,累计折旧(万元),1,累计折旧(万元) balance
advance_payment,预付款项,balance,预付款项，包括预付货款和预付工程款等，通常属于流动资产。预付账款与应收账款都属于公司的债权，但两者产生的原因不同，应收账款是公司应收的销货款，通常是用货币清偿的，而预付账款是预付给供货单位的购货款或预付给施工单位的工程价款和材料款，通常是用商品、劳务或完工工程来清偿的。,,预付款项(元),1,预付款项(万元) balance
advance_peceipts,预收账款,balance,预收款项是在企业销售交易成立以前，预先收取的部分货款。,,预收款项(元),1,预收账款(万元) balance
