Unnamed: 0,code
0,000001
1,000002
2,000003
3,000004
4,000005
5,000006
6,000007
7,000008
8,000009
9,000010
10,000016
11,000017
12,000020
13,000032
14,000033
15,000034
16,000035
17,000036
18,000037
19,000038
20,000039
21,000040
22,000041
23,000043
24,000044
25,000045
26,000046
27,000047
28,000090
29,000104
30,000105
31,000106
32,000107
33,000108
34,000109
35,000110
36,000111
37,000112
38,000113
39,000132
40,000133
41,000155
42,000300
43,000852
44,000903
45,000904
46,000905
47,000906
48,399001
49,399002
50,399003
51,399004
52,399005
53,399006
54,399007
55,399008
56,399009
57,399010
58,399011
59,399012
60,399015
61,399300
62,399903
63,399904
64,399905
