secID,code,exchangeCD,ListSectorCD,ListSector,transCurrCD,secShortName,secFullName,listStatusCD,listDate,delistDate,equTypeCD,equType,exCountryCD,partyID,totalShares,nonrestFloatShares,nonrestfloatA,officeAddr,primeOperating,endDate,TShEquity,stop,industry,area,timeToMarket,holders
000001.XSHE,000001,XSHE,1.0,主板,CNY,平安银行,平安银行股份有限公司,L,1991/4/3,,A,沪深A股,CHN,2.0,17170411400.0,16917989700.0,16917989700.0,广东省深圳市罗湖区深南东路5047号,人民币、外币存贷款;国际、国内结算;票据贴现;外汇买卖;提供担保及信用证服务;提供保管箱服务等。,2017/9/30,218111000000.0,False,银行,深圳,19910403,393000
000002.XSHE,000002,XSHE,1.0,主板,CNY,万科A,万科企业股份有限公司,L,1991/1/29,,A,沪深A股,CHN,3.0,11039152000.0,11024120600.0,9709165100.0,广东省深圳市盐田区大梅沙环梅路33号万科中心,房地产业务及投资零售业务。,2017/9/30,167725000000.0,False,全国地产,深圳,19910129,207215
000004.XSHE,000004,XSHE,1.0,主板,CNY,国农科技,深圳中国农大科技股份有限公司,L,1991/1/14,,A,沪深A股,CHN,5.0,83976700.0,82963700.0,82963700.0,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,生物特征识别系统、生物制药的研发与销售、房地产开发和销售。,2017/9/30,169991455.3,False,生物制药,深圳,19910114,12388
000005.XSHE,000005,XSHE,1.0,主板,CNY,世纪星源,深圳世纪星源股份有限公司,L,1990/12/10,,A,沪深A股,CHN,6.0,1058536900.0,951222500.0,951222500.0,深圳市罗湖区深南东路2017号华乐大厦3楼,房地产、酒店式公寓管理、交通运输、商务咨询、软件开发、财经资讯等。,2017/9/30,1344260964.0,False,房产服务,深圳,19901210,129643
000006.XSHE,000006,XSHE,1.0,主板,CNY,深振业A,深圳市振业(集团)股份有限公司,L,1992/4/27,,A,沪深A股,CHN,7.0,1349995100.0,1345169200.0,1345169200.0,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,房地产开发与经营。,2017/9/30,5240483112.0,False,区域地产,深圳,19920427,80462
000007.XSHE,000007,XSHE,1.0,主板,CNY,全新好,深圳市全新好股份有限公司,L,1992/4/13,,A,沪深A股,CHN,8.0,346448000.0,308948000.0,308948000.0,深圳市福田区梅林街道梅康路8号理想时代大厦6楼,投资兴办实业(具体项目另外申报);国内商业、物资供销业(不含专营、专控、专卖商品);自有物业租赁;环保产品的技术开发;信息咨询(不含限制项目);项目投资(不含限制项目);房地产开发;酒店经营等。,2017/9/30,384135418.2,False,酒店餐饮,深圳,19920413,14453
000008.XSHE,000008,XSHE,1.0,主板,CNY,神州高铁,神州高铁技术股份有限公司,L,1992/5/7,,A,沪深A股,CHN,9.0,2818329800.0,2011042800.0,2011042800.0,北京市海淀区高梁桥斜街59号院1号楼中坤大厦16层,轨道交通安全检测监测技术、数据采集及分析技术和智能化维护技术的研发与应用。,2017/9/30,6316922516.0,False,运输设备,北京,19920507,64328
000009.XSHE,000009,XSHE,1.0,主板,CNY,中国宝安,中国宝安集团股份有限公司,L,1991/6/25,,A,沪深A股,CHN,10.0,2149345000.0,2120089100.0,2120089100.0,广东省深圳市笋岗东路宝安广场A座28-29层,高新技术产业、生物医药业和房地产业的投资。,2017/9/30,10090400892.0,False,综合类,深圳,19910625,186467
000010.XSHE,000010,XSHE,1.0,主板,CNY,美丽生态,深圳美丽生态股份有限公司,L,1995/10/27,,A,沪深A股,CHN,11.0,819854700.0,522171500.0,522171500.0,广东省深圳市福田区中心四路1-1号嘉里建设广场第三座3201室,"高新技术项目的开发及相关产品的技术服务,计算机网络系统工程、计算机软、硬件的技术开发、生产、安装及系统集成,电子技术产品的技术开发、生产,信息咨询服务。",2017/9/30,2253959326.0,False,建筑施工,深圳,19951027,54225
000011.XSHE,000011,XSHE,1.0,主板,CNY,深物业A,深圳市物业发展(集团)股份有限公司,L,1992/3/30,,A,沪深A股,CHN,12.0,595979100.0,243467900.0,175862600.0,"广东省深圳市人民南路国贸大厦39,42层",房地产开发经营。,2017/9/30,2879738971.0,False,区域地产,深圳,19920330,47200
